Timestamp,Thread,LockType,Method,Action,Value
2025-05-06T01:21:55.340444Z,Reader-1,READ,contains,trying,11
2025-05-06T01:21:55.352238Z,Reader-2,READ,checkRep,trying,-
2025-05-06T01:21:55.352489Z,Writer-2,WRITE,remove,trying,15
2025-05-06T01:21:55.352727Z,Writer-1,WRITE,add,trying,11
2025-05-06T01:21:55.352958Z,Reader-2,READ,checkRep,acquired,-
2025-05-06T01:21:55.353170Z,Reader-1,READ,contains,acquired,11
2025-05-06T01:21:55.353369Z,Reader-2,READ,checkRep,released,-
2025-05-06T01:21:55.353576Z,Writer-2,WRITE,remove,acquired,15
2025-05-06T01:21:55.353777Z,Reader-1,READ,contains,released,11
2025-05-06T01:21:55.353977Z,Writer-1,WRITE,add,acquired,11
2025-05-06T01:21:55.354179Z,Writer-2,WRITE,remove,released,15
2025-05-06T01:21:55.354407Z,Writer-1,WRITE,add,released,11
2025-05-06T01:21:55.381154Z,Reader-1,READ,contains,trying,35
2025-05-06T01:21:55.381373Z,Reader-1,READ,contains,acquired,35
2025-05-06T01:21:55.381563Z,Reader-1,READ,contains,released,35
2025-05-06T01:21:55.389657Z,Reader-2,READ,checkRep,trying,-
2025-05-06T01:21:55.389864Z,Reader-2,READ,checkRep,acquired,-
2025-05-06T01:21:55.390042Z,Reader-2,READ,checkRep,released,-
2025-05-06T01:21:55.421621Z,Reader-2,READ,checkRep,trying,-
2025-05-06T01:21:55.421850Z,Reader-2,READ,checkRep,acquired,-
2025-05-06T01:21:55.422030Z,Reader-2,READ,checkRep,released,-
2025-05-06T01:21:55.464550Z,Reader-1,READ,contains,trying,26
2025-05-06T01:21:55.465225Z,Reader-1,READ,contains,acquired,26
2025-05-06T01:21:55.465491Z,Reader-1,READ,contains,released,26
2025-05-06T01:21:55.483499Z,Writer-2,WRITE,remove,trying,33
2025-05-06T01:21:55.483793Z,Writer-2,WRITE,remove,acquired,33
2025-05-06T01:21:55.484007Z,Writer-2,WRITE,remove,released,33
2025-05-06T01:21:55.490704Z,Writer-1,WRITE,add,trying,32
2025-05-06T01:21:55.490962Z,Writer-1,WRITE,add,acquired,32
2025-05-06T01:21:55.491147Z,Writer-1,WRITE,add,released,32
2025-05-06T01:21:55.523348Z,Reader-2,READ,checkRep,trying,-
2025-05-06T01:21:55.523607Z,Reader-2,READ,checkRep,acquired,-
2025-05-06T01:21:55.523795Z,Reader-2,READ,checkRep,released,-
2025-05-06T01:21:55.529014Z,Reader-2,READ,checkRep,trying,-
2025-05-06T01:21:55.529227Z,Reader-2,READ,checkRep,acquired,-
2025-05-06T01:21:55.529388Z,Reader-2,READ,checkRep,released,-
2025-05-06T01:21:55.533219Z,Writer-2,WRITE,remove,trying,32
2025-05-06T01:21:55.533417Z,Writer-2,WRITE,remove,acquired,32
2025-05-06T01:21:55.533567Z,Writer-2,WRITE,remove,released,32
2025-05-06T01:21:55.538735Z,Reader-1,READ,contains,trying,21
2025-05-06T01:21:55.539050Z,Reader-1,READ,contains,acquired,21
2025-05-06T01:21:55.539245Z,Reader-1,READ,contains,released,21
2025-05-06T01:21:55.572344Z,Writer-1,WRITE,add,trying,49
2025-05-06T01:21:55.572812Z,Writer-1,WRITE,add,acquired,49
2025-05-06T01:21:55.573008Z,Writer-1,WRITE,add,released,49
2025-05-06T01:21:55.610059Z,Writer-1,WRITE,add,trying,45
2025-05-06T01:21:55.610412Z,Writer-1,WRITE,add,acquired,45
2025-05-06T01:21:55.610623Z,Writer-1,WRITE,add,released,45
2025-05-06T01:21:55.610876Z,Writer-1,WRITE,add,trying,43
2025-05-06T01:21:55.611136Z,Writer-1,WRITE,add,acquired,43
2025-05-06T01:21:55.611364Z,Writer-1,WRITE,add,released,43
2025-05-06T01:21:55.611612Z,Reader-2,READ,checkRep,trying,-
2025-05-06T01:21:55.611856Z,Reader-2,READ,checkRep,acquired,-
2025-05-06T01:21:55.612048Z,Reader-2,READ,checkRep,released,-
2025-05-06T01:21:55.643661Z,Reader-1,READ,contains,trying,5
2025-05-06T01:21:55.644198Z,Reader-1,READ,contains,acquired,5
2025-05-06T01:21:55.644506Z,Reader-1,READ,contains,released,5
2025-05-06T01:21:55.645367Z,Reader-2,READ,checkRep,trying,-
2025-05-06T01:21:55.645811Z,Reader-2,READ,checkRep,acquired,-
2025-05-06T01:21:55.646215Z,Reader-2,READ,checkRep,released,-
2025-05-06T01:21:55.670928Z,Writer-2,WRITE,remove,trying,10
2025-05-06T01:21:55.671281Z,Writer-2,WRITE,remove,acquired,10
2025-05-06T01:21:55.671501Z,Writer-2,WRITE,remove,released,10
2025-05-06T01:21:55.671713Z,Reader-1,READ,contains,trying,24
2025-05-06T01:21:55.671941Z,Reader-1,READ,contains,acquired,24
2025-05-06T01:21:55.672110Z,Reader-1,READ,contains,released,24
2025-05-06T01:21:55.702055Z,Writer-1,WRITE,add,trying,44
